date,usd
1999-12-01,99.933
2000-01-01,99.871
2000-02-01,101.233
2000-03-01,101.71
2000-04-01,102.282
2000-05-01,104.515
2000-06-01,103.619
2000-07-01,103.893
2000-08-01,104.368
2000-09-01,105.843
2000-10-01,107.344
2000-11-01,107.956
2000-12-01,107.105
2001-01-01,107.458
2001-02-01,108.267
2001-03-01,109.861
2001-04-01,110.499
2001-05-01,110.543
2001-06-01,111.364
2001-07-01,111.493
2001-08-01,109.517
2001-09-01,110.129
2001-10-01,110.519
2001-11-01,110.999
2001-12-01,110.944
2002-01-01,112.174
2002-02-01,112.767
2002-03-01,112.155
2002-04-01,111.927
2002-05-01,110.419
2002-06-01,108.955
2002-07-01,107.364
2002-08-01,108.653
2002-09-01,109.487
2002-10-01,110.283
2002-11-01,109.058
2002-12-01,108.482
2003-01-01,107.183
2003-02-01,107.322
2003-03-01,106.834
2003-04-01,105.664
2003-05-01,102.119
2003-06-01,101.613
2003-07-01,102.877
2003-08-01,104.24
2003-09-01,103.178
2003-10-01,100.866
2003-11-01,100.468
2003-12-01,99.121
2004-01-01,97.648
2004-02-01,98.246
2004-03-01,99.156
2004-04-01,99.746
2004-05-01,101.485
2004-06-01,100.643
2004-07-01,99.858
2004-08-01,99.823
2004-09-01,99.547
2004-10-01,98.383
2004-11-01,96.184
2004-12-01,95.058
2005-01-01,95.45
2005-02-01,95.698
2005-03-01,95.307
2005-04-01,96.234
2005-05-01,96.47
2005-06-01,97.334
2005-07-01,97.987
2005-08-01,97.148
2005-09-01,98.022
2005-10-01,98.909
2005-11-01,99.049
2005-12-01,98.264
2006-01-01,97.124
2006-02-01,97.313
2006-03-01,97.516
2006-04-01,97.021
2006-05-01,95.1
2006-06-01,96.341
2006-07-01,96.491
2006-08-01,96.056
2006-09-01,95.737
2006-10-01,95.465
2006-11-01,94.484
2006-12-01,93.888
2007-01-01,94.827
2007-02-01,94.65
2007-03-01,94.417
2007-04-01,93.291
2007-05-01,92.63
2007-06-01,92.359
2007-07-01,90.979
2007-08-01,91.175
2007-09-01,90.096
2007-10-01,88.163
2007-11-01,87.124
2007-12-01,87.769
2008-01-01,87.111
2008-02-01,86.054
2008-03-01,84.386
2008-04-01,83.957
2008-05-01,84.308
2008-06-01,84.802
2008-07-01,84.398
2008-08-01,86.461
2008-09-01,88.575
2008-10-01,93.654
2008-11-01,94.491
2008-12-01,92.996
2009-01-01,93.777
2009-02-01,96.406
2009-03-01,96.618
2009-04-01,94.222
2009-05-01,91.496
2009-06-01,90.868
2009-07-01,90.433
2009-08-01,89.366
2009-09-01,88.735
2009-10-01,87.592
2009-11-01,87.156
2009-12-01,87.389
2010-01-01,87.401
2010-02-01,88.406
2010-03-01,87.527
2010-04-01,86.925
2010-05-01,89.108
2010-06-01,89.45
2010-07-01,87.977
2010-08-01,87.207
2010-09-01,86.27
2010-10-01,83.912
2010-11-01,83.955
2010-12-01,84.593
2011-01-01,83.567
2011-02-01,82.989
2011-03-01,82.308
2011-04-01,81.026
2011-05-01,81.052
2011-06-01,80.834
2011-07-01,80.241
2011-08-01,80.789
2011-09-01,83.167
2011-10-01,83.749
2011-11-01,84.27
2011-12-01,84.975
2012-01-01,84.32
2012-02-01,83.07
2012-03-01,83.44
2012-04-01,83.626
2012-05-01,84.852
2012-06-01,85.946
2012-07-01,85.407
2012-08-01,84.852
2012-09-01,83.71
2012-10-01,83.515
2012-11-01,83.813
2012-12-01,83.118
2013-01-01,83.007
2013-02-01,83.866
2013-03-01,84.274
2013-04-01,83.678
2013-05-01,83.971
2013-06-01,84.596
2013-07-01,85.034
2013-08-01,84.974
2013-09-01,84.575
2013-10-01,83.629
2013-11-01,84.316
2013-12-01,84.507
2014-01-01,85.315
2014-02-01,85.464
2014-03-01,85.38
2014-04-01,84.978
2014-05-01,84.639
2014-06-01,84.705
2014-07-01,84.472
2014-08-01,85.103
2014-09-01,86.237
2014-10-01,87.211
2014-11-01,88.491
2014-12-01,90.262
2015-01-01,91.829
2015-02-01,92.965
2015-03-01,94.62
2015-04-01,93.677
2015-05-01,93.033
2015-06-01,93.782
2015-07-01,95.347
2015-08-01,96.966
2015-09-01,97.488
2015-10-01,96.574
2015-11-01,98.052
2015-12-01,98.846
2016-01-01,101.077
2016-02-01,99.728
2016-03-01,97.693
2016-04-01,96.341
2016-05-01,97.419
2016-06-01,97.802
2016-07-01,98.294
2016-08-01,97.514
2016-09-01,98.26
2016-10-01,99.18
2016-11-01,101.556
2016-12-01,103.252
2017-01-01,103.132
2017-02-01,101.75
2017-03-01,100.981
2017-04-01,100.239
2017-05-01,99.662
2017-06-01,98.299
2017-07-01,96.875
2017-08-01,95.879
2017-09-01,95.232
2017-10-01,96.809
2017-11-01,96.95
2017-12-01,96.69
2018-01-01,94.841
2018-02-01,94.993
2018-03-01,95.344
2018-04-01,95.449
2018-05-01,98.105
2018-06-01,99.675
2018-07-01,100.036
2018-08-01,100.989
2018-09-01,101.18
2018-10-01,101.902
2018-11-01,103.04
2018-12-01,103.193
2019-01-01,101.778
2019-02-01,101.776
